,angry,disgust,fear,happy,sad,surprise,neutral
118,0.04,0.0,0.11,0.0,0.54,0.0,0.31
119,0.04,0.0,0.14,0.0,0.45,0.0,0.37
120,0.06,0.0,0.13,0.0,0.47,0.01,0.33
121,0.06,0.0,0.1,0.0,0.49,0.01,0.34
122,0.07,0.0,0.13,0.0,0.45,0.01,0.34
123,0.05,0.0,0.16,0.0,0.46,0.01,0.32
124,0.05,0.0,0.15,0.0,0.44,0.01,0.34
125,0.05,0.0,0.19,0.0,0.56,0.01,0.19
126,0.04,0.0,0.12,0.0,0.6,0.01,0.23
127,0.05,0.0,0.13,0.0,0.56,0.01,0.25
128,0.07,0.0,0.17,0.0,0.56,0.01,0.18
129,0.04,0.0,0.16,0.0,0.62,0.01,0.18
130,0.05,0.0,0.15,0.0,0.55,0.02,0.23
131,0.09,0.0,0.18,0.0,0.52,0.02,0.19
132,0.09,0.0,0.15,0.0,0.55,0.01,0.2
133,0.07,0.0,0.12,0.0,0.51,0.02,0.27
134,0.1,0.0,0.15,0.0,0.52,0.02,0.21
135,0.05,0.0,0.15,0.0,0.44,0.01,0.34
136,0.08,0.0,0.12,0.0,0.51,0.02,0.27
137,0.07,0.0,0.12,0.0,0.57,0.01,0.23
138,0.06,0.0,0.12,0.0,0.51,0.01,0.3
139,0.09,0.0,0.14,0.0,0.58,0.02,0.18
140,0.09,0.0,0.16,0.0,0.53,0.02,0.19
141,0.07,0.0,0.15,0.0,0.57,0.02,0.2
142,0.07,0.0,0.17,0.0,0.51,0.03,0.23
143,0.05,0.0,0.18,0.0,0.44,0.02,0.31
144,0.1,0.0,0.18,0.0,0.44,0.03,0.26
145,0.07,0.0,0.1,0.0,0.4,0.02,0.4
146,0.08,0.0,0.16,0.0,0.45,0.01,0.3
147,0.07,0.0,0.21,0.0,0.41,0.01,0.3
148,0.11,0.0,0.12,0.0,0.46,0.02,0.28
149,0.08,0.0,0.17,0.0,0.39,0.02,0.35
150,0.06,0.0,0.18,0.0,0.43,0.01,0.32
151,0.09,0.0,0.12,0.0,0.47,0.02,0.3
152,0.12,0.0,0.11,0.0,0.44,0.03,0.3
153,0.11,0.0,0.11,0.0,0.41,0.03,0.34
154,0.12,0.0,0.13,0.0,0.34,0.04,0.37
155,0.1,0.0,0.13,0.0,0.34,0.03,0.39
156,0.11,0.0,0.17,0.0,0.39,0.02,0.31
157,0.13,0.0,0.17,0.0,0.42,0.02,0.26
158,0.07,0.0,0.15,0.0,0.39,0.02,0.37
159,0.09,0.0,0.16,0.0,0.52,0.02,0.21
160,0.15,0.0,0.1,0.0,0.5,0.02,0.22
161,0.09,0.0,0.15,0.0,0.44,0.03,0.3
162,0.08,0.0,0.13,0.0,0.47,0.03,0.29
163,0.13,0.0,0.17,0.0,0.38,0.03,0.29
164,0.09,0.0,0.12,0.0,0.39,0.02,0.38
165,0.09,0.0,0.17,0.0,0.4,0.03,0.31
166,0.1,0.0,0.12,0.0,0.42,0.02,0.34
167,0.07,0.0,0.13,0.0,0.31,0.01,0.47
168,0.11,0.0,0.09,0.0,0.47,0.02,0.3
169,0.08,0.0,0.14,0.0,0.36,0.02,0.4
170,0.08,0.0,0.14,0.0,0.46,0.01,0.31
171,0.09,0.0,0.14,0.0,0.53,0.02,0.22
172,0.1,0.0,0.12,0.0,0.44,0.02,0.32
173,0.07,0.0,0.12,0.0,0.5,0.01,0.3
174,0.08,0.0,0.11,0.0,0.46,0.01,0.33
175,0.08,0.0,0.12,0.0,0.49,0.02,0.29
176,0.11,0.0,0.14,0.0,0.45,0.02,0.28
177,0.11,0.0,0.11,0.0,0.46,0.04,0.28
178,0.1,0.0,0.14,0.0,0.53,0.03,0.19
179,0.07,0.0,0.16,0.0,0.48,0.01,0.28
180,0.07,0.0,0.14,0.0,0.48,0.02,0.29
181,0.06,0.0,0.17,0.0,0.47,0.01,0.29
182,0.08,0.0,0.11,0.0,0.43,0.01,0.38
183,0.1,0.0,0.13,0.0,0.47,0.03,0.26
184,0.09,0.0,0.11,0.0,0.48,0.01,0.3
185,0.08,0.0,0.14,0.0,0.4,0.01,0.38
186,0.08,0.0,0.16,0.0,0.51,0.01,0.23
187,0.05,0.0,0.15,0.0,0.55,0.01,0.24
188,0.06,0.0,0.08,0.0,0.56,0.0,0.3
189,0.05,0.0,0.08,0.0,0.48,0.01,0.38
190,0.04,0.0,0.08,0.0,0.31,0.01,0.56
191,0.05,0.0,0.15,0.0,0.53,0.01,0.26
192,0.07,0.0,0.15,0.0,0.42,0.04,0.32
193,0.04,0.0,0.09,0.0,0.39,0.01,0.47
194,0.05,0.0,0.1,0.0,0.42,0.01,0.42
195,0.07,0.0,0.13,0.0,0.45,0.02,0.32
196,0.05,0.0,0.1,0.0,0.33,0.01,0.5
197,0.07,0.0,0.12,0.0,0.48,0.02,0.31
198,0.09,0.0,0.14,0.0,0.41,0.02,0.34
199,0.09,0.0,0.16,0.0,0.46,0.03,0.26
200,0.08,0.0,0.1,0.0,0.44,0.01,0.36
201,0.08,0.0,0.1,0.0,0.45,0.01,0.36
202,0.06,0.0,0.16,0.0,0.46,0.01,0.3
203,0.06,0.0,0.13,0.0,0.56,0.02,0.23
204,0.08,0.0,0.15,0.0,0.43,0.02,0.33
205,0.06,0.0,0.13,0.0,0.55,0.02,0.24
206,0.06,0.0,0.13,0.0,0.52,0.02,0.25
207,0.08,0.0,0.18,0.0,0.43,0.02,0.3
208,0.07,0.0,0.16,0.0,0.51,0.01,0.24
209,0.08,0.0,0.16,0.0,0.53,0.02,0.21
210,0.09,0.0,0.12,0.0,0.48,0.02,0.29
211,0.06,0.0,0.14,0.0,0.46,0.02,0.32
212,0.06,0.0,0.12,0.0,0.47,0.02,0.33
213,0.06,0.0,0.15,0.0,0.35,0.02,0.42
214,0.08,0.0,0.15,0.0,0.44,0.04,0.29
215,0.1,0.0,0.15,0.0,0.47,0.03,0.25
216,0.05,0.0,0.14,0.0,0.39,0.01,0.4
217,0.07,0.0,0.18,0.0,0.51,0.01,0.22
218,0.08,0.0,0.15,0.0,0.59,0.01,0.17
219,0.07,0.0,0.14,0.0,0.42,0.01,0.36
220,0.04,0.0,0.1,0.0,0.47,0.01,0.38
221,0.06,0.0,0.16,0.0,0.53,0.01,0.23
222,0.06,0.0,0.2,0.0,0.47,0.02,0.26
223,0.07,0.0,0.14,0.0,0.44,0.02,0.33
224,0.09,0.0,0.13,0.0,0.53,0.03,0.22
225,0.09,0.0,0.15,0.0,0.44,0.03,0.28
226,0.06,0.0,0.18,0.0,0.47,0.01,0.28
227,0.09,0.0,0.14,0.0,0.44,0.02,0.31
228,0.07,0.0,0.12,0.0,0.55,0.02,0.23
229,0.08,0.0,0.13,0.0,0.46,0.02,0.32
230,0.12,0.0,0.13,0.0,0.43,0.02,0.29
231,0.07,0.0,0.12,0.0,0.34,0.02,0.45
232,0.07,0.0,0.08,0.0,0.38,0.01,0.46
233,0.07,0.0,0.14,0.0,0.42,0.04,0.32
234,0.07,0.0,0.17,0.0,0.47,0.02,0.28
235,0.06,0.0,0.13,0.0,0.52,0.02,0.26
236,0.08,0.0,0.13,0.0,0.5,0.02,0.26
237,0.1,0.0,0.13,0.0,0.45,0.02,0.3
238,0.09,0.0,0.13,0.0,0.47,0.02,0.29
239,0.06,0.0,0.12,0.0,0.55,0.02,0.25
240,0.08,0.0,0.18,0.0,0.41,0.02,0.31
241,0.07,0.0,0.15,0.0,0.53,0.02,0.22
242,0.09,0.0,0.15,0.0,0.5,0.03,0.24
243,0.05,0.0,0.12,0.0,0.48,0.02,0.33
244,0.06,0.0,0.16,0.0,0.53,0.01,0.23
245,0.09,0.0,0.09,0.0,0.4,0.01,0.41
246,0.09,0.0,0.15,0.0,0.41,0.02,0.33
247,0.09,0.0,0.14,0.0,0.47,0.03,0.27
248,0.14,0.0,0.15,0.0,0.43,0.02,0.26
249,0.09,0.0,0.14,0.0,0.47,0.03,0.26
250,0.07,0.0,0.19,0.0,0.53,0.02,0.19
251,0.07,0.0,0.19,0.0,0.43,0.03,0.28
252,0.06,0.0,0.11,0.0,0.42,0.02,0.39
253,0.07,0.0,0.15,0.0,0.42,0.02,0.34
254,0.1,0.0,0.15,0.0,0.42,0.04,0.28
255,0.07,0.0,0.13,0.0,0.49,0.01,0.29
256,0.07,0.0,0.22,0.0,0.49,0.02,0.19
257,0.07,0.0,0.15,0.0,0.53,0.01,0.23
258,0.06,0.0,0.1,0.0,0.37,0.02,0.45
259,0.08,0.0,0.12,0.0,0.41,0.03,0.35
260,0.12,0.0,0.13,0.0,0.42,0.02,0.31
261,0.08,0.0,0.11,0.0,0.47,0.02,0.31
262,0.13,0.0,0.12,0.0,0.4,0.03,0.31
263,0.16,0.0,0.08,0.0,0.41,0.01,0.34
264,0.12,0.0,0.11,0.0,0.4,0.01,0.36
265,0.11,0.0,0.15,0.0,0.42,0.01,0.3
266,0.09,0.0,0.18,0.0,0.36,0.02,0.36
267,0.07,0.0,0.16,0.0,0.42,0.02,0.33
268,0.12,0.0,0.17,0.0,0.39,0.01,0.31
269,0.11,0.0,0.19,0.0,0.34,0.03,0.33
270,0.1,0.0,0.13,0.0,0.4,0.04,0.32
271,0.09,0.0,0.11,0.0,0.29,0.03,0.47
272,0.09,0.0,0.11,0.0,0.39,0.01,0.39
273,0.08,0.0,0.11,0.0,0.4,0.01,0.4
274,0.11,0.0,0.14,0.0,0.36,0.02,0.37
275,0.1,0.0,0.15,0.0,0.35,0.02,0.38
276,0.11,0.0,0.17,0.0,0.47,0.03,0.22
277,0.18,0.0,0.11,0.0,0.36,0.02,0.33
278,0.14,0.0,0.14,0.0,0.4,0.01,0.3
279,0.08,0.0,0.2,0.0,0.43,0.04,0.24
280,0.15,0.0,0.14,0.0,0.29,0.01,0.41
281,0.11,0.0,0.11,0.0,0.31,0.01,0.46
282,0.15,0.0,0.15,0.0,0.41,0.01,0.27
283,0.16,0.0,0.09,0.0,0.28,0.02,0.45
284,0.11,0.0,0.1,0.0,0.36,0.02,0.41
285,0.11,0.0,0.15,0.0,0.39,0.0,0.35
286,0.18,0.0,0.13,0.0,0.38,0.01,0.3
287,0.1,0.0,0.09,0.0,0.35,0.01,0.45
288,0.08,0.0,0.08,0.0,0.48,0.0,0.35
289,0.08,0.0,0.06,0.0,0.51,0.0,0.35
290,0.06,0.0,0.11,0.0,0.47,0.01,0.36
291,0.07,0.0,0.08,0.0,0.59,0.0,0.24
292,0.07,0.0,0.18,0.0,0.49,0.01,0.24
293,0.09,0.0,0.11,0.0,0.45,0.01,0.35
294,0.07,0.0,0.2,0.0,0.54,0.01,0.18
295,0.09,0.0,0.13,0.0,0.36,0.01,0.41
296,0.09,0.0,0.16,0.0,0.39,0.02,0.34
297,0.11,0.0,0.14,0.0,0.4,0.01,0.34
298,0.17,0.0,0.12,0.0,0.29,0.02,0.4
299,0.11,0.0,0.11,0.0,0.36,0.01,0.39
300,0.2,0.0,0.11,0.0,0.39,0.02,0.29
301,0.14,0.0,0.1,0.0,0.35,0.01,0.39
302,0.12,0.0,0.14,0.0,0.34,0.04,0.36
303,0.11,0.0,0.18,0.0,0.37,0.02,0.31
304,0.13,0.0,0.09,0.0,0.31,0.01,0.45
305,0.15,0.0,0.08,0.0,0.36,0.01,0.39
306,0.15,0.0,0.12,0.0,0.49,0.01,0.23
307,0.13,0.0,0.08,0.0,0.36,0.01,0.43
308,0.13,0.0,0.17,0.0,0.43,0.02,0.25
309,0.12,0.0,0.13,0.0,0.4,0.01,0.33
310,0.11,0.0,0.13,0.0,0.37,0.02,0.36
311,0.15,0.0,0.13,0.0,0.4,0.04,0.27
312,0.08,0.0,0.15,0.0,0.5,0.03,0.24
313,0.13,0.0,0.14,0.0,0.43,0.01,0.29
314,0.13,0.0,0.12,0.0,0.44,0.01,0.3
315,0.13,0.0,0.1,0.0,0.51,0.0,0.25
316,0.15,0.0,0.08,0.0,0.38,0.01,0.38
317,0.12,0.0,0.05,0.0,0.42,0.01,0.4
318,0.14,0.0,0.1,0.0,0.37,0.02,0.37
319,0.13,0.0,0.08,0.0,0.35,0.01,0.42
320,0.16,0.0,0.14,0.0,0.36,0.03,0.31
321,0.13,0.0,0.07,0.0,0.43,0.01,0.35
322,0.13,0.0,0.08,0.0,0.31,0.01,0.47
323,0.08,0.0,0.13,0.0,0.43,0.01,0.35
324,0.11,0.0,0.09,0.0,0.24,0.03,0.52
325,0.15,0.0,0.08,0.0,0.28,0.03,0.46
326,0.12,0.0,0.09,0.0,0.36,0.02,0.41
327,0.11,0.0,0.08,0.0,0.36,0.01,0.44
328,0.09,0.0,0.08,0.0,0.33,0.02,0.48
329,0.09,0.0,0.06,0.0,0.3,0.01,0.54
330,0.11,0.0,0.08,0.0,0.34,0.03,0.44
331,0.11,0.0,0.09,0.0,0.26,0.02,0.52
332,0.06,0.0,0.08,0.0,0.28,0.02,0.55
333,0.09,0.0,0.09,0.0,0.28,0.03,0.5
334,0.08,0.0,0.11,0.0,0.35,0.03,0.42
335,0.07,0.0,0.1,0.0,0.51,0.02,0.29
336,0.09,0.0,0.1,0.0,0.48,0.01,0.32
337,0.09,0.0,0.11,0.0,0.49,0.02,0.29
338,0.06,0.0,0.08,0.0,0.64,0.0,0.22
339,0.07,0.0,0.12,0.0,0.43,0.02,0.37
340,0.08,0.0,0.07,0.0,0.41,0.01,0.43
341,0.06,0.0,0.09,0.0,0.52,0.0,0.33
342,0.05,0.0,0.14,0.0,0.43,0.01,0.37
343,0.06,0.0,0.09,0.0,0.3,0.0,0.55
344,0.06,0.0,0.12,0.0,0.4,0.0,0.43
345,0.05,0.0,0.1,0.0,0.32,0.0,0.52
346,0.04,0.0,0.07,0.0,0.52,0.0,0.37
347,0.04,0.0,0.07,0.0,0.5,0.0,0.38
348,0.05,0.0,0.07,0.0,0.53,0.0,0.35
349,0.03,0.0,0.07,0.0,0.36,0.0,0.53
350,0.07,0.0,0.09,0.0,0.53,0.0,0.3
351,0.05,0.0,0.08,0.0,0.46,0.0,0.41
352,0.06,0.0,0.09,0.0,0.57,0.0,0.27
353,0.05,0.0,0.07,0.0,0.54,0.0,0.34
354,0.05,0.0,0.08,0.0,0.53,0.0,0.34
355,0.07,0.0,0.11,0.0,0.55,0.0,0.26
356,0.07,0.0,0.11,0.0,0.48,0.01,0.32
357,0.07,0.0,0.11,0.0,0.48,0.01,0.34
358,0.08,0.0,0.11,0.0,0.54,0.02,0.25
359,0.06,0.0,0.09,0.0,0.52,0.01,0.32
360,0.11,0.0,0.06,0.0,0.56,0.01,0.26
361,0.06,0.0,0.11,0.0,0.52,0.02,0.28
362,0.05,0.0,0.07,0.0,0.57,0.0,0.31
363,0.05,0.0,0.07,0.0,0.36,0.01,0.52
364,0.06,0.0,0.06,0.0,0.45,0.01,0.42
365,0.08,0.0,0.14,0.0,0.49,0.02,0.27
366,0.06,0.0,0.13,0.0,0.6,0.01,0.2
367,0.09,0.0,0.14,0.0,0.58,0.02,0.18
368,0.11,0.0,0.12,0.0,0.46,0.03,0.28
369,0.09,0.0,0.05,0.0,0.52,0.01,0.32
370,0.09,0.0,0.12,0.0,0.52,0.01,0.26
371,0.09,0.0,0.09,0.0,0.57,0.01,0.23
372,0.07,0.0,0.1,0.0,0.53,0.0,0.3
373,0.1,0.0,0.13,0.0,0.51,0.01,0.25
374,0.09,0.0,0.11,0.0,0.53,0.01,0.25
375,0.09,0.0,0.09,0.0,0.54,0.01,0.27
376,0.07,0.0,0.09,0.0,0.53,0.0,0.31
377,0.1,0.0,0.14,0.0,0.46,0.01,0.28
378,0.1,0.0,0.15,0.0,0.43,0.02,0.29
379,0.08,0.0,0.09,0.0,0.44,0.01,0.36
380,0.11,0.0,0.11,0.0,0.43,0.02,0.32
381,0.16,0.0,0.1,0.0,0.42,0.02,0.29
382,0.1,0.0,0.11,0.0,0.55,0.01,0.22
383,0.13,0.0,0.13,0.0,0.5,0.01,0.23
384,0.11,0.0,0.1,0.0,0.38,0.02,0.39
385,0.11,0.0,0.15,0.0,0.47,0.02,0.26
386,0.16,0.0,0.12,0.0,0.44,0.02,0.26
387,0.16,0.0,0.07,0.0,0.38,0.01,0.38
388,0.17,0.0,0.11,0.0,0.39,0.01,0.31
389,0.15,0.0,0.21,0.0,0.35,0.05,0.24
390,0.07,0.0,0.13,0.0,0.5,0.01,0.29
391,0.1,0.0,0.17,0.0,0.47,0.03,0.23
392,0.09,0.0,0.22,0.0,0.43,0.04,0.22
393,0.1,0.0,0.16,0.0,0.36,0.04,0.32
394,0.09,0.0,0.15,0.0,0.44,0.04,0.28
395,0.06,0.0,0.15,0.0,0.52,0.03,0.25
396,0.11,0.0,0.1,0.0,0.33,0.02,0.43
397,0.13,0.0,0.17,0.0,0.5,0.02,0.18
398,0.13,0.0,0.15,0.0,0.5,0.03,0.19
399,0.08,0.0,0.11,0.0,0.56,0.01,0.23
400,0.07,0.0,0.11,0.0,0.54,0.01,0.27
401,0.04,0.0,0.14,0.0,0.52,0.0,0.29
402,0.07,0.0,0.04,0.0,0.58,0.0,0.31
403,0.06,0.0,0.05,0.0,0.56,0.0,0.32
404,0.06,0.0,0.06,0.0,0.54,0.0,0.32
405,0.06,0.0,0.11,0.0,0.58,0.0,0.25
406,0.05,0.0,0.09,0.0,0.57,0.0,0.29
407,0.04,0.0,0.12,0.0,0.65,0.0,0.19
408,0.04,0.0,0.08,0.0,0.51,0.0,0.36
409,0.08,0.0,0.09,0.0,0.5,0.01,0.32
410,0.04,0.0,0.07,0.0,0.53,0.0,0.36
411,0.07,0.0,0.1,0.0,0.48,0.0,0.35
412,0.07,0.0,0.08,0.0,0.61,0.0,0.23
413,0.05,0.0,0.11,0.0,0.57,0.0,0.27
414,0.07,0.0,0.11,0.0,0.52,0.0,0.29
415,0.07,0.0,0.11,0.0,0.58,0.0,0.23
416,0.07,0.0,0.12,0.0,0.53,0.0,0.28
417,0.05,0.0,0.11,0.0,0.66,0.0,0.18
418,0.06,0.0,0.12,0.0,0.61,0.0,0.2
419,0.04,0.0,0.12,0.0,0.55,0.0,0.28
420,0.04,0.0,0.11,0.0,0.62,0.0,0.23
421,0.06,0.0,0.11,0.0,0.61,0.0,0.21
422,0.06,0.0,0.1,0.0,0.57,0.01,0.26
423,0.07,0.0,0.09,0.0,0.57,0.01,0.26
424,0.07,0.0,0.12,0.0,0.64,0.01,0.16
425,0.08,0.0,0.13,0.0,0.6,0.01,0.19
426,0.1,0.0,0.14,0.0,0.58,0.02,0.16
427,0.08,0.0,0.16,0.0,0.57,0.02,0.17
428,0.08,0.0,0.13,0.0,0.61,0.01,0.16
429,0.1,0.0,0.07,0.0,0.47,0.01,0.35
430,0.12,0.0,0.16,0.0,0.52,0.02,0.19
431,0.1,0.0,0.08,0.0,0.45,0.02,0.35
432,0.08,0.0,0.12,0.0,0.52,0.02,0.26
433,0.09,0.0,0.12,0.0,0.6,0.02,0.16
434,0.09,0.0,0.13,0.0,0.44,0.03,0.3
435,0.06,0.0,0.16,0.0,0.52,0.02,0.24
436,0.1,0.0,0.13,0.0,0.57,0.02,0.18
437,0.08,0.0,0.21,0.0,0.5,0.02,0.2
438,0.07,0.0,0.14,0.0,0.56,0.02,0.21
439,0.09,0.0,0.09,0.0,0.62,0.01,0.19
440,0.07,0.0,0.15,0.0,0.59,0.02,0.17
441,0.07,0.0,0.08,0.0,0.63,0.0,0.22
442,0.08,0.0,0.09,0.0,0.61,0.01,0.21
443,0.06,0.0,0.07,0.0,0.44,0.01,0.41
444,0.1,0.0,0.09,0.0,0.47,0.01,0.32
445,0.1,0.0,0.1,0.0,0.55,0.02,0.24
446,0.07,0.0,0.1,0.0,0.56,0.01,0.26
447,0.06,0.0,0.09,0.0,0.48,0.01,0.35
448,0.09,0.0,0.1,0.0,0.52,0.02,0.27
449,0.06,0.0,0.07,0.0,0.49,0.01,0.36
450,0.08,0.0,0.16,0.0,0.51,0.02,0.24
451,0.07,0.0,0.14,0.0,0.55,0.02,0.22
452,0.08,0.0,0.26,0.0,0.42,0.02,0.21
453,0.07,0.0,0.1,0.0,0.52,0.01,0.3
454,0.07,0.0,0.15,0.0,0.55,0.02,0.2
455,0.08,0.0,0.21,0.0,0.44,0.03,0.23
456,0.05,0.0,0.12,0.0,0.57,0.01,0.25
457,0.08,0.0,0.21,0.0,0.47,0.02,0.23
458,0.06,0.0,0.19,0.0,0.48,0.02,0.24
459,0.05,0.0,0.16,0.0,0.5,0.01,0.28
460,0.09,0.0,0.22,0.0,0.37,0.01,0.31
461,0.08,0.0,0.13,0.0,0.43,0.02,0.34
462,0.09,0.0,0.18,0.0,0.49,0.01,0.22
463,0.1,0.0,0.19,0.0,0.42,0.01,0.28
464,0.1,0.0,0.15,0.0,0.44,0.02,0.29
