,angry,disgust,fear,happy,sad,surprise,neutral,frame
73,0.0,0.0,0.03,0.0,0.04,0.0,0.92,730
74,0.0,0.0,0.01,0.0,0.03,0.0,0.96,740
75,0.01,0.0,0.04,0.0,0.04,0.0,0.92,750
76,0.0,0.0,0.02,0.0,0.02,0.0,0.95,760
77,0.01,0.0,0.04,0.0,0.04,0.0,0.91,770
78,0.0,0.0,0.03,0.0,0.03,0.0,0.93,780
79,0.0,0.0,0.01,0.0,0.03,0.0,0.96,790
80,0.0,0.0,0.01,0.0,0.02,0.0,0.96,800
81,0.0,0.0,0.02,0.0,0.03,0.0,0.94,810
82,0.0,0.0,0.02,0.0,0.03,0.0,0.95,820
83,0.0,0.0,0.01,0.0,0.03,0.0,0.96,830
84,0.0,0.0,0.03,0.0,0.03,0.0,0.94,840
85,0.0,0.0,0.01,0.0,0.02,0.0,0.96,850
86,0.0,0.0,0.02,0.0,0.04,0.0,0.93,860
87,0.0,0.0,0.05,0.0,0.06,0.0,0.89,870
88,0.0,0.0,0.05,0.0,0.05,0.0,0.89,880
89,0.0,0.0,0.02,0.0,0.03,0.0,0.94,890
90,0.0,0.0,0.03,0.0,0.04,0.0,0.92,900
91,0.0,0.0,0.03,0.0,0.04,0.0,0.92,910
92,0.0,0.0,0.02,0.0,0.04,0.0,0.93,920
93,0.0,0.0,0.07,0.0,0.06,0.0,0.86,930
94,0.0,0.0,0.05,0.0,0.03,0.0,0.91,940
95,0.0,0.0,0.06,0.0,0.04,0.0,0.88,950
96,0.0,0.0,0.04,0.0,0.05,0.0,0.9,960
97,0.0,0.0,0.06,0.0,0.05,0.01,0.88,970
98,0.0,0.0,0.04,0.0,0.05,0.0,0.9,980
99,0.01,0.0,0.09,0.0,0.06,0.01,0.84,990
100,0.0,0.0,0.02,0.0,0.05,0.0,0.93,1000
101,0.0,0.0,0.05,0.0,0.04,0.0,0.9,1010
102,0.0,0.0,0.05,0.0,0.03,0.0,0.92,1020
103,0.0,0.0,0.04,0.0,0.03,0.0,0.92,1030
104,0.0,0.0,0.04,0.0,0.04,0.0,0.91,1040
105,0.0,0.0,0.04,0.0,0.04,0.0,0.91,1050
106,0.0,0.0,0.03,0.0,0.05,0.0,0.92,1060
107,0.0,0.0,0.04,0.0,0.03,0.01,0.92,1070
108,0.0,0.0,0.07,0.0,0.06,0.0,0.86,1080
109,0.0,0.0,0.03,0.0,0.04,0.0,0.93,1090
110,0.0,0.0,0.02,0.0,0.03,0.0,0.95,1100
111,0.0,0.0,0.03,0.0,0.05,0.0,0.92,1110
112,0.0,0.0,0.02,0.0,0.03,0.0,0.95,1120
113,0.0,0.0,0.05,0.0,0.04,0.0,0.9,1130
114,0.0,0.0,0.03,0.0,0.03,0.0,0.92,1140
115,0.0,0.0,0.04,0.0,0.03,0.01,0.92,1150
116,0.0,0.0,0.03,0.0,0.03,0.0,0.93,1160
117,0.0,0.0,0.06,0.0,0.07,0.0,0.87,1170
118,0.0,0.0,0.04,0.0,0.05,0.0,0.9,1180
119,0.0,0.0,0.07,0.0,0.05,0.0,0.88,1190
120,0.0,0.0,0.04,0.0,0.02,0.0,0.93,1200
121,0.0,0.0,0.04,0.0,0.03,0.0,0.93,1210
122,0.0,0.0,0.01,0.0,0.02,0.0,0.97,1220
123,0.0,0.0,0.03,0.01,0.02,0.0,0.94,1230
124,0.0,0.0,0.01,0.0,0.01,0.0,0.98,1240
125,0.0,0.0,0.01,0.0,0.02,0.0,0.97,1250
126,0.0,0.0,0.02,0.0,0.02,0.0,0.96,1260
127,0.0,0.0,0.02,0.0,0.02,0.0,0.96,1270
128,0.0,0.0,0.01,0.0,0.01,0.0,0.97,1280
129,0.0,0.0,0.02,0.0,0.02,0.0,0.95,1290
130,0.0,0.0,0.04,0.0,0.03,0.0,0.93,1300
131,0.0,0.0,0.02,0.0,0.01,0.0,0.96,1310
132,0.0,0.0,0.03,0.0,0.02,0.0,0.94,1320
133,0.0,0.0,0.01,0.0,0.01,0.0,0.97,1330
134,0.0,0.0,0.04,0.0,0.03,0.0,0.92,1340
135,0.0,0.0,0.02,0.0,0.02,0.0,0.95,1350
136,0.0,0.0,0.02,0.0,0.02,0.0,0.94,1360
137,0.0,0.0,0.02,0.0,0.02,0.0,0.95,1370
138,0.0,0.0,0.03,0.0,0.02,0.0,0.95,1380
139,0.0,0.0,0.04,0.0,0.03,0.0,0.92,1390
140,0.0,0.0,0.03,0.0,0.03,0.0,0.93,1400
141,0.0,0.0,0.03,0.0,0.03,0.0,0.93,1410
142,0.0,0.0,0.02,0.0,0.02,0.0,0.95,1420
143,0.0,0.0,0.04,0.0,0.03,0.0,0.92,1430
144,0.0,0.0,0.01,0.0,0.01,0.0,0.97,1440
145,0.0,0.0,0.02,0.0,0.02,0.0,0.95,1450
146,0.0,0.0,0.02,0.0,0.02,0.0,0.95,1460
147,0.0,0.0,0.03,0.0,0.03,0.0,0.94,1470
148,0.0,0.0,0.02,0.0,0.02,0.0,0.95,1480
149,0.0,0.0,0.02,0.0,0.02,0.0,0.95,1490
150,0.0,0.0,0.04,0.0,0.02,0.0,0.93,1500
151,0.0,0.0,0.01,0.0,0.02,0.0,0.97,1510
152,0.0,0.0,0.03,0.0,0.02,0.0,0.94,1520
153,0.0,0.0,0.02,0.0,0.02,0.0,0.95,1530
154,0.0,0.0,0.03,0.0,0.02,0.0,0.94,1540
155,0.0,0.0,0.02,0.0,0.02,0.0,0.95,1550
156,0.0,0.0,0.04,0.0,0.04,0.0,0.92,1560
157,0.0,0.0,0.03,0.0,0.03,0.0,0.94,1570
158,0.0,0.0,0.03,0.0,0.03,0.0,0.92,1580
159,0.0,0.0,0.04,0.0,0.03,0.0,0.92,1590
160,0.0,0.0,0.04,0.0,0.04,0.0,0.91,1600
161,0.0,0.0,0.04,0.0,0.03,0.0,0.92,1610
162,0.0,0.0,0.03,0.0,0.02,0.0,0.94,1620
163,0.0,0.0,0.03,0.0,0.03,0.0,0.93,1630
164,0.0,0.0,0.03,0.0,0.03,0.0,0.94,1640
165,0.0,0.0,0.04,0.0,0.03,0.0,0.92,1650
166,0.0,0.0,0.04,0.0,0.03,0.0,0.93,1660
167,0.0,0.0,0.03,0.0,0.03,0.0,0.93,1670
168,0.0,0.0,0.04,0.0,0.04,0.0,0.92,1680
169,0.0,0.0,0.01,0.0,0.02,0.0,0.97,1690
170,0.0,0.0,0.02,0.0,0.02,0.0,0.95,1700
171,0.0,0.0,0.04,0.0,0.03,0.0,0.92,1710
172,0.0,0.0,0.06,0.0,0.03,0.01,0.89,1720
173,0.0,0.0,0.03,0.0,0.02,0.0,0.93,1730
174,0.0,0.0,0.05,0.0,0.04,0.0,0.9,1740
175,0.0,0.0,0.04,0.0,0.03,0.0,0.91,1750
176,0.01,0.0,0.05,0.0,0.04,0.01,0.9,1760
177,0.01,0.0,0.04,0.0,0.03,0.01,0.92,1770
178,0.0,0.0,0.02,0.0,0.02,0.0,0.95,1780
179,0.0,0.0,0.02,0.0,0.02,0.0,0.95,1790
180,0.0,0.0,0.03,0.0,0.02,0.0,0.94,1800
181,0.0,0.0,0.03,0.0,0.04,0.0,0.93,1810
182,0.01,0.0,0.07,0.0,0.04,0.01,0.88,1820
183,0.0,0.0,0.04,0.0,0.03,0.0,0.91,1830
184,0.0,0.0,0.04,0.0,0.03,0.0,0.92,1840
185,0.0,0.0,0.02,0.0,0.02,0.0,0.95,1850
186,0.0,0.0,0.04,0.0,0.04,0.0,0.91,1860
187,0.0,0.0,0.02,0.0,0.02,0.0,0.95,1870
188,0.0,0.0,0.03,0.0,0.03,0.0,0.93,1880
189,0.01,0.0,0.06,0.0,0.03,0.0,0.89,1890
190,0.0,0.0,0.02,0.0,0.04,0.0,0.94,1900
191,0.0,0.0,0.02,0.0,0.02,0.0,0.95,1910
192,0.0,0.0,0.04,0.0,0.03,0.01,0.92,1920
193,0.0,0.0,0.02,0.0,0.02,0.0,0.96,1930
194,0.0,0.0,0.05,0.0,0.05,0.0,0.9,1940
195,0.0,0.0,0.02,0.0,0.03,0.0,0.95,1950
196,0.0,0.0,0.03,0.0,0.02,0.0,0.94,1960
197,0.01,0.0,0.06,0.0,0.03,0.01,0.9,1970
198,0.0,0.0,0.04,0.0,0.03,0.0,0.92,1980
199,0.01,0.0,0.06,0.0,0.04,0.01,0.88,1990
200,0.01,0.0,0.08,0.0,0.04,0.0,0.86,2000
201,0.0,0.0,0.03,0.0,0.03,0.0,0.94,2010
202,0.0,0.0,0.02,0.0,0.03,0.0,0.95,2020
203,0.0,0.0,0.05,0.0,0.03,0.0,0.91,2030
204,0.01,0.0,0.02,0.0,0.04,0.0,0.93,2040
205,0.0,0.0,0.04,0.0,0.03,0.0,0.92,2050
206,0.0,0.0,0.03,0.0,0.02,0.0,0.94,2060
207,0.0,0.0,0.03,0.0,0.04,0.0,0.92,2070
208,0.0,0.0,0.04,0.0,0.03,0.0,0.92,2080
209,0.0,0.0,0.02,0.0,0.01,0.0,0.97,2090
210,0.01,0.0,0.04,0.0,0.04,0.0,0.91,2100
211,0.01,0.0,0.03,0.0,0.03,0.0,0.93,2110
212,0.01,0.0,0.03,0.0,0.04,0.0,0.92,2120
213,0.0,0.0,0.02,0.0,0.02,0.0,0.95,2130
214,0.0,0.0,0.02,0.0,0.04,0.0,0.93,2140
215,0.0,0.0,0.03,0.0,0.03,0.0,0.93,2150
216,0.0,0.0,0.03,0.0,0.04,0.0,0.93,2160
217,0.01,0.0,0.04,0.0,0.03,0.0,0.92,2170
218,0.0,0.0,0.03,0.0,0.03,0.0,0.94,2180
219,0.0,0.0,0.02,0.0,0.03,0.0,0.94,2190
220,0.0,0.0,0.02,0.0,0.02,0.0,0.95,2200
221,0.0,0.0,0.03,0.0,0.03,0.0,0.94,2210
222,0.0,0.0,0.02,0.0,0.02,0.0,0.95,2220
223,0.01,0.0,0.05,0.0,0.04,0.0,0.9,2230
224,0.0,0.0,0.02,0.0,0.02,0.0,0.95,2240
225,0.0,0.0,0.04,0.0,0.03,0.01,0.91,2250
226,0.0,0.0,0.03,0.0,0.04,0.0,0.92,2260
227,0.0,0.0,0.02,0.0,0.02,0.0,0.95,2270
228,0.01,0.0,0.04,0.0,0.03,0.0,0.92,2280
229,0.0,0.0,0.02,0.0,0.02,0.0,0.95,2290
230,0.0,0.0,0.03,0.0,0.03,0.0,0.93,2300
231,0.0,0.0,0.02,0.0,0.03,0.0,0.94,2310
232,0.0,0.0,0.04,0.0,0.03,0.0,0.93,2320
233,0.01,0.0,0.03,0.0,0.03,0.0,0.94,2330
234,0.0,0.0,0.03,0.0,0.03,0.0,0.93,2340
235,0.01,0.0,0.03,0.0,0.03,0.0,0.94,2350
236,0.0,0.0,0.03,0.0,0.03,0.0,0.94,2360
237,0.01,0.0,0.03,0.0,0.04,0.0,0.92,2370
238,0.01,0.0,0.03,0.0,0.02,0.0,0.94,2380
239,0.0,0.0,0.04,0.0,0.03,0.0,0.93,2390
240,0.0,0.0,0.02,0.0,0.03,0.0,0.93,2400
241,0.0,0.0,0.03,0.0,0.02,0.0,0.94,2410
242,0.01,0.0,0.05,0.0,0.03,0.0,0.91,2420
243,0.01,0.0,0.07,0.0,0.04,0.0,0.87,2430
244,0.0,0.0,0.04,0.0,0.03,0.0,0.92,2440
245,0.0,0.0,0.04,0.0,0.03,0.0,0.93,2450
246,0.01,0.0,0.08,0.0,0.05,0.0,0.86,2460
247,0.0,0.0,0.03,0.0,0.02,0.0,0.95,2470
248,0.0,0.0,0.02,0.0,0.01,0.0,0.96,2480
249,0.0,0.0,0.01,0.0,0.01,0.0,0.97,2490
250,0.0,0.0,0.03,0.0,0.02,0.0,0.94,2500
251,0.0,0.0,0.03,0.0,0.03,0.0,0.92,2510
252,0.0,0.0,0.04,0.0,0.02,0.01,0.92,2520
253,0.0,0.0,0.03,0.0,0.03,0.0,0.93,2530
254,0.01,0.0,0.05,0.0,0.04,0.0,0.9,2540
255,0.0,0.0,0.03,0.0,0.02,0.0,0.94,2550
256,0.01,0.0,0.05,0.0,0.03,0.01,0.9,2560
257,0.01,0.0,0.04,0.0,0.04,0.0,0.91,2570
258,0.0,0.0,0.03,0.0,0.02,0.01,0.93,2580
259,0.01,0.0,0.05,0.0,0.04,0.01,0.89,2590
260,0.01,0.0,0.1,0.0,0.06,0.01,0.83,2600
261,0.0,0.0,0.03,0.0,0.03,0.0,0.93,2610
262,0.0,0.0,0.04,0.0,0.03,0.0,0.92,2620
263,0.01,0.0,0.05,0.0,0.03,0.01,0.9,2630
264,0.01,0.0,0.03,0.0,0.04,0.0,0.92,2640
265,0.01,0.0,0.04,0.0,0.03,0.0,0.92,2650
266,0.0,0.0,0.05,0.0,0.04,0.01,0.9,2660
267,0.0,0.0,0.02,0.0,0.02,0.0,0.95,2670
268,0.0,0.0,0.05,0.01,0.03,0.0,0.91,2680
269,0.01,0.0,0.04,0.01,0.02,0.0,0.92,2690
270,0.01,0.0,0.05,0.01,0.02,0.01,0.9,2700
271,0.0,0.0,0.02,0.01,0.02,0.0,0.95,2710
272,0.0,0.0,0.04,0.0,0.03,0.0,0.92,2720
273,0.01,0.0,0.04,0.01,0.03,0.0,0.91,2730
274,0.0,0.0,0.05,0.01,0.02,0.0,0.92,2740
275,0.0,0.0,0.02,0.0,0.02,0.0,0.95,2750
276,0.0,0.0,0.02,0.0,0.02,0.0,0.95,2760
277,0.0,0.0,0.04,0.0,0.03,0.0,0.92,2770
278,0.0,0.0,0.02,0.0,0.02,0.0,0.94,2780
279,0.0,0.0,0.01,0.0,0.01,0.0,0.97,2790
280,0.0,0.0,0.01,0.0,0.02,0.0,0.96,2800
281,0.01,0.0,0.04,0.0,0.03,0.0,0.91,2810
282,0.0,0.0,0.02,0.0,0.03,0.0,0.94,2820
283,0.0,0.0,0.07,0.0,0.04,0.0,0.89,2830
284,0.0,0.0,0.03,0.0,0.03,0.0,0.94,2840
285,0.01,0.0,0.04,0.0,0.05,0.0,0.91,2850
286,0.0,0.0,0.03,0.0,0.04,0.0,0.92,2860
287,0.0,0.0,0.02,0.0,0.02,0.0,0.95,2870
288,0.0,0.0,0.02,0.0,0.03,0.0,0.94,2880
289,0.01,0.0,0.07,0.0,0.05,0.01,0.86,2890
290,0.0,0.0,0.02,0.0,0.03,0.0,0.94,2900
291,0.0,0.0,0.03,0.0,0.04,0.0,0.92,2910
292,0.01,0.0,0.04,0.0,0.03,0.0,0.91,2920
293,0.01,0.0,0.04,0.0,0.04,0.0,0.91,2930
294,0.0,0.0,0.02,0.0,0.02,0.0,0.95,2940
295,0.0,0.0,0.08,0.0,0.05,0.0,0.87,2950
296,0.0,0.0,0.04,0.0,0.02,0.01,0.93,2960
297,0.01,0.0,0.05,0.0,0.03,0.01,0.91,2970
298,0.0,0.0,0.04,0.0,0.04,0.0,0.91,2980
299,0.01,0.0,0.06,0.0,0.03,0.01,0.9,2990
300,0.01,0.0,0.03,0.0,0.04,0.0,0.92,3000
301,0.0,0.0,0.04,0.0,0.03,0.01,0.92,3010
302,0.01,0.0,0.03,0.0,0.02,0.0,0.93,3020
303,0.0,0.0,0.04,0.0,0.04,0.0,0.91,3030
304,0.0,0.0,0.03,0.0,0.02,0.0,0.95,3040
305,0.0,0.0,0.03,0.0,0.03,0.0,0.93,3050
306,0.0,0.0,0.03,0.0,0.02,0.0,0.94,3060
307,0.0,0.0,0.02,0.0,0.03,0.0,0.95,3070
308,0.0,0.0,0.04,0.0,0.03,0.0,0.93,3080
309,0.0,0.0,0.02,0.0,0.02,0.0,0.96,3090
310,0.0,0.0,0.04,0.0,0.03,0.0,0.92,3100
311,0.01,0.0,0.06,0.0,0.06,0.0,0.88,3110
312,0.01,0.0,0.03,0.0,0.03,0.0,0.92,3120
313,0.0,0.0,0.02,0.0,0.02,0.0,0.95,3130
314,0.0,0.0,0.03,0.0,0.02,0.0,0.94,3140
315,0.01,0.0,0.04,0.0,0.03,0.0,0.91,3150
316,0.0,0.0,0.03,0.0,0.04,0.0,0.92,3160
317,0.01,0.0,0.06,0.0,0.07,0.0,0.85,3170
318,0.01,0.0,0.04,0.0,0.03,0.0,0.91,3180
319,0.0,0.0,0.04,0.0,0.03,0.0,0.91,3190
320,0.01,0.0,0.04,0.0,0.04,0.0,0.91,3200
321,0.01,0.0,0.05,0.0,0.04,0.01,0.9,3210
322,0.0,0.0,0.04,0.0,0.03,0.01,0.92,3220
323,0.0,0.0,0.04,0.0,0.03,0.0,0.92,3230
324,0.0,0.0,0.03,0.0,0.03,0.0,0.93,3240
325,0.0,0.0,0.04,0.0,0.04,0.0,0.92,3250
326,0.01,0.0,0.04,0.0,0.06,0.0,0.89,3260
327,0.01,0.0,0.04,0.0,0.05,0.0,0.9,3270
328,0.01,0.0,0.06,0.0,0.05,0.01,0.87,3280
329,0.01,0.0,0.05,0.0,0.04,0.0,0.91,3290
330,0.01,0.0,0.07,0.0,0.03,0.01,0.88,3300
331,0.0,0.0,0.04,0.0,0.04,0.0,0.92,3310
332,0.01,0.0,0.06,0.0,0.06,0.0,0.87,3320
333,0.0,0.0,0.03,0.0,0.03,0.0,0.93,3330
334,0.0,0.0,0.04,0.0,0.03,0.0,0.92,3340
335,0.01,0.0,0.04,0.0,0.04,0.0,0.92,3350
336,0.01,0.0,0.04,0.0,0.04,0.0,0.91,3360
337,0.0,0.0,0.04,0.0,0.03,0.0,0.93,3370
338,0.01,0.0,0.05,0.0,0.05,0.0,0.89,3380
339,0.0,0.0,0.04,0.0,0.03,0.0,0.92,3390
340,0.0,0.0,0.04,0.0,0.02,0.0,0.93,3400
341,0.01,0.0,0.04,0.0,0.06,0.01,0.88,3410
342,0.01,0.0,0.05,0.0,0.04,0.0,0.89,3420
343,0.01,0.0,0.05,0.0,0.05,0.0,0.89,3430
344,0.01,0.0,0.06,0.0,0.06,0.0,0.86,3440
345,0.01,0.0,0.05,0.0,0.05,0.0,0.89,3450
346,0.01,0.0,0.04,0.0,0.03,0.01,0.91,3460
347,0.0,0.0,0.03,0.0,0.03,0.0,0.94,3470
348,0.01,0.0,0.04,0.0,0.04,0.0,0.91,3480
349,0.01,0.0,0.06,0.0,0.05,0.01,0.88,3490
350,0.01,0.0,0.06,0.0,0.05,0.01,0.88,3500
351,0.0,0.0,0.03,0.0,0.02,0.0,0.93,3510
352,0.01,0.0,0.03,0.0,0.03,0.0,0.93,3520
353,0.01,0.0,0.05,0.0,0.05,0.0,0.89,3530
354,0.0,0.0,0.05,0.0,0.04,0.0,0.9,3540
355,0.01,0.0,0.04,0.0,0.05,0.0,0.9,3550
356,0.01,0.0,0.05,0.0,0.04,0.0,0.9,3560
357,0.01,0.0,0.05,0.0,0.04,0.0,0.9,3570
358,0.01,0.0,0.04,0.0,0.05,0.0,0.91,3580
359,0.0,0.0,0.04,0.0,0.03,0.0,0.91,3590
360,0.01,0.0,0.04,0.0,0.06,0.0,0.89,3600
361,0.01,0.0,0.06,0.0,0.06,0.01,0.86,3610
362,0.01,0.0,0.05,0.0,0.04,0.0,0.9,3620
363,0.01,0.0,0.04,0.0,0.03,0.01,0.91,3630
364,0.01,0.0,0.07,0.0,0.04,0.01,0.87,3640
365,0.0,0.0,0.05,0.0,0.03,0.0,0.91,3650
366,0.0,0.0,0.05,0.0,0.05,0.01,0.89,3660
367,0.0,0.0,0.04,0.0,0.03,0.0,0.92,3670
368,0.0,0.0,0.06,0.0,0.05,0.01,0.88,3680
369,0.0,0.0,0.07,0.0,0.04,0.0,0.88,3690
370,0.0,0.0,0.04,0.0,0.03,0.01,0.92,3700
371,0.01,0.0,0.07,0.0,0.06,0.01,0.85,3710
372,0.01,0.0,0.06,0.0,0.04,0.01,0.88,3720
373,0.01,0.0,0.08,0.0,0.05,0.0,0.86,3730
374,0.0,0.0,0.03,0.0,0.03,0.0,0.94,3740
375,0.0,0.0,0.06,0.0,0.06,0.0,0.87,3750
376,0.0,0.0,0.04,0.0,0.03,0.0,0.93,3760
377,0.0,0.0,0.05,0.0,0.05,0.01,0.89,3770
378,0.01,0.0,0.07,0.0,0.05,0.01,0.87,3780
379,0.0,0.0,0.05,0.0,0.04,0.01,0.9,3790
380,0.0,0.0,0.03,0.0,0.03,0.0,0.93,3800
381,0.01,0.0,0.05,0.0,0.04,0.01,0.89,3810
382,0.0,0.0,0.05,0.0,0.04,0.0,0.9,3820
383,0.0,0.0,0.04,0.0,0.04,0.0,0.92,3830
384,0.0,0.0,0.05,0.0,0.04,0.01,0.89,3840
385,0.01,0.0,0.05,0.0,0.06,0.0,0.88,3850
386,0.01,0.0,0.06,0.0,0.04,0.0,0.89,3860
387,0.01,0.0,0.04,0.0,0.04,0.0,0.91,3870
388,0.0,0.0,0.04,0.0,0.03,0.0,0.92,3880
389,0.01,0.0,0.04,0.0,0.04,0.0,0.91,3890
390,0.01,0.0,0.05,0.0,0.04,0.01,0.9,3900
391,0.01,0.0,0.06,0.0,0.04,0.01,0.88,3910
392,0.0,0.0,0.03,0.0,0.03,0.0,0.93,3920
393,0.01,0.0,0.04,0.0,0.05,0.0,0.89,3930
394,0.01,0.0,0.04,0.0,0.04,0.0,0.91,3940
395,0.0,0.0,0.06,0.0,0.05,0.01,0.88,3950
396,0.01,0.0,0.05,0.0,0.04,0.0,0.9,3960
397,0.01,0.0,0.08,0.0,0.06,0.0,0.85,3970
398,0.01,0.0,0.07,0.0,0.04,0.0,0.88,3980
399,0.0,0.0,0.04,0.0,0.04,0.0,0.91,3990
400,0.0,0.0,0.02,0.0,0.05,0.0,0.92,4000
401,0.0,0.0,0.02,0.0,0.04,0.0,0.94,4010
402,0.0,0.0,0.02,0.0,0.02,0.0,0.95,4020
403,0.01,0.0,0.05,0.0,0.03,0.0,0.91,4030
404,0.01,0.0,0.04,0.0,0.03,0.0,0.91,4040
405,0.0,0.0,0.01,0.0,0.02,0.0,0.95,4050
406,0.0,0.0,0.05,0.0,0.05,0.0,0.89,4060
407,0.0,0.0,0.06,0.0,0.05,0.0,0.88,4070
408,0.0,0.0,0.05,0.0,0.03,0.0,0.91,4080
409,0.0,0.0,0.07,0.0,0.04,0.01,0.87,4090
410,0.0,0.0,0.03,0.0,0.04,0.0,0.92,4100
411,0.0,0.0,0.07,0.0,0.05,0.01,0.87,4110
412,0.01,0.0,0.07,0.0,0.08,0.01,0.84,4120
413,0.01,0.0,0.09,0.0,0.04,0.02,0.84,4130
414,0.0,0.0,0.05,0.0,0.05,0.0,0.89,4140
415,0.0,0.0,0.05,0.0,0.04,0.0,0.89,4150
416,0.0,0.0,0.03,0.0,0.03,0.0,0.93,4160
417,0.0,0.0,0.05,0.0,0.03,0.01,0.91,4170
418,0.01,0.0,0.07,0.0,0.06,0.01,0.86,4180
419,0.0,0.0,0.09,0.0,0.04,0.01,0.86,4190
420,0.0,0.0,0.07,0.0,0.05,0.01,0.88,4200
421,0.01,0.0,0.09,0.0,0.08,0.0,0.82,4210
422,0.0,0.0,0.04,0.0,0.03,0.0,0.93,4220
423,0.0,0.0,0.04,0.0,0.04,0.0,0.91,4230
424,0.0,0.0,0.05,0.0,0.04,0.0,0.9,4240
