normalize,fear,happy
823,0.04,0.0
825,0.07,0.01
827,0.06,0.0
829,0.05,0.01
831,0.06,0.0
833,0.06,0.0
834,0.03,0.01
836,0.04,0.0
838,0.06,0.0
840,0.06,0.01
842,0.08,0.0
844,0.08,0.0
846,0.03,0.0
848,0.05,0.01
850,0.04,0.0
852,0.04,0.0
854,0.04,0.01
856,0.03,0.0
858,0.02,0.01
860,0.05,0.0
862,0.04,0.0
864,0.04,0.0
866,0.09,0.0
868,0.05,0.0
870,0.06,0.0
872,0.1,0.0
874,0.06,0.0
876,0.08,0.0
878,0.09,0.0
880,0.09,0.01
882,0.06,0.0
884,0.05,0.0
886,0.05,0.0
888,0.05,0.0
890,0.06,0.0
892,0.05,0.0
894,0.07,0.0
896,0.05,0.0
898,0.05,0.0
900,0.05,0.0
902,0.06,0.0
904,0.05,0.0
906,0.06,0.0
908,0.07,0.0
910,0.06,0.0
912,0.06,0.0
914,0.09,0.0
916,0.03,0.0
918,0.06,0.0
920,0.08,0.01
922,0.07,0.0
923,0.05,0.0
925,0.04,0.0
927,0.04,0.0
929,0.06,0.0
931,0.05,0.0
933,0.03,0.01
935,0.04,0.01
937,0.04,0.01
939,0.03,0.01
941,0.04,0.0
943,0.02,0.01
945,0.03,0.02
947,0.03,0.01
949,0.03,0.01
951,0.02,0.01
953,0.05,0.0
955,0.06,0.01
957,0.04,0.0
959,0.04,0.01
961,0.03,0.01
963,0.04,0.01
965,0.06,0.0
967,0.04,0.01
969,0.05,0.0
971,0.05,0.0
973,0.04,0.0
975,0.05,0.0
977,0.06,0.0
979,0.03,0.01
981,0.06,0.0
983,0.05,0.0
985,0.03,0.01
987,0.05,0.0
989,0.06,0.0
991,0.06,0.0
993,0.05,0.0
995,0.03,0.0
997,0.04,0.0
999,0.06,0.0
1001,0.07,0.0
1003,0.04,0.01
1005,0.06,0.0
1007,0.07,0.0
1009,0.03,0.01
1010,0.05,0.01
1012,0.05,0.0
1014,0.03,0.0
1016,0.06,0.0
1018,0.03,0.01
1020,0.04,0.01
1022,0.04,0.01
1024,0.03,0.01
1026,0.05,0.01
1028,0.05,0.01
1030,0.03,0.01
1032,0.03,0.01
1034,0.05,0.01
1036,0.04,0.01
1038,0.05,0.01
1040,0.05,0.0
1042,0.02,0.01
1044,0.04,0.01
1046,0.04,0.01
1048,0.04,0.01
1050,0.04,0.01
1052,0.07,0.0
1054,0.06,0.01
1056,0.06,0.01
1058,0.06,0.0
1060,0.06,0.01
1062,0.12,0.0
1064,0.06,0.0
1066,0.03,0.0
1068,0.07,0.0
1070,0.05,0.0
1072,0.04,0.01
1074,0.08,0.0
1076,0.05,0.01
1078,0.04,0.0
1080,0.09,0.0
1082,0.06,0.0
1084,0.04,0.01
1086,0.04,0.0
1088,0.02,0.0
1090,0.04,0.01
1092,0.07,0.0
1094,0.03,0.0
1096,0.04,0.01
1097,0.06,0.01
1099,0.04,0.01
1101,0.07,0.01
1103,0.09,0.0
1105,0.06,0.0
1107,0.09,0.0
1109,0.06,0.0
1111,0.05,0.0
1113,0.09,0.0
1115,0.09,0.0
1117,0.06,0.01
1119,0.07,0.0
1121,0.06,0.0
1123,0.05,0.0
1125,0.05,0.0
1127,0.04,0.0
1129,0.03,0.01
1131,0.08,0.0
1133,0.04,0.0
1135,0.04,0.0
1137,0.12,0.0
1139,0.04,0.0
1141,0.04,0.0
1143,0.08,0.0
1145,0.04,0.01
1147,0.05,0.0
1149,0.05,0.0
1151,0.05,0.0
1153,0.04,0.01
1155,0.07,0.0
1157,0.05,0.0
1159,0.09,0.0
1161,0.08,0.0
1163,0.05,0.0
1165,0.06,0.0
1167,0.06,0.0
1169,0.05,0.01
1171,0.05,0.0
1173,0.05,0.0
1175,0.05,0.0
1177,0.05,0.01
1179,0.06,0.0
1181,0.03,0.01
1183,0.06,0.01
1185,0.05,0.01
1186,0.08,0.0
1188,0.07,0.0
1190,0.08,0.0
1192,0.05,0.0
1194,0.06,0.0
1196,0.07,0.0
1198,0.06,0.0
1200,0.07,0.0
1202,0.05,0.01
1204,0.08,0.01
1206,0.04,0.0
1208,0.03,0.0
1210,0.05,0.0
1212,0.07,0.0
1214,0.03,0.01
1216,0.07,0.0
1218,0.11,0.0
1220,0.07,0.0
1222,0.07,0.01
1224,0.09,0.0
1226,0.06,0.01
1228,0.06,0.01
1230,0.08,0.0
1232,0.07,0.01
1234,0.07,0.0
1236,0.06,0.0
1238,0.07,0.01
1240,0.06,0.01
1242,0.04,0.0
1244,0.05,0.01
1246,0.08,0.01
1248,0.04,0.0
1250,0.06,0.0
1252,0.07,0.0
1254,0.06,0.0
1256,0.05,0.0
1258,0.06,0.0
1260,0.09,0.0
1262,0.05,0.01
1264,0.08,0.0
1266,0.08,0.0
1268,0.06,0.0
1270,0.08,0.0
1272,0.08,0.0
1273,0.07,0.0
1275,0.05,0.0
1277,0.06,0.0
1279,0.04,0.0
1281,0.11,0.0
1283,0.06,0.0
1285,0.05,0.0
1287,0.09,0.0
1289,0.04,0.01
1291,0.05,0.0
1293,0.07,0.01
1295,0.05,0.01
1297,0.07,0.0
1299,0.08,0.0
1301,0.05,0.0
1303,0.06,0.0
1305,0.09,0.0
1307,0.07,0.0
1309,0.08,0.0
1311,0.08,0.0
1313,0.05,0.0
1315,0.06,0.0
1317,0.09,0.0
1319,0.04,0.01
1321,0.07,0.0
1323,0.05,0.0
1325,0.05,0.0
1327,0.05,0.0
1329,0.03,0.0
1331,0.05,0.0
1333,0.1,0.0
1335,0.08,0.0
1337,0.05,0.0
1339,0.06,0.0
1341,0.05,0.0
1343,0.07,0.0
1345,0.08,0.0
1347,0.08,0.0
1349,0.07,0.0
1351,0.07,0.0
1353,0.06,0.01
1355,0.07,0.0
1357,0.08,0.0
1359,0.07,0.0
1360,0.06,0.0
1362,0.05,0.01
1364,0.04,0.0
1366,0.06,0.0
1368,0.07,0.0
1370,0.05,0.0
1372,0.1,0.0
1374,0.07,0.0
1376,0.07,0.0
1378,0.08,0.0
1380,0.1,0.0
1382,0.04,0.01
1384,0.07,0.0
1386,0.07,0.0
1388,0.06,0.0
1390,0.07,0.0
1392,0.08,0.0
1394,0.04,0.0
1396,0.07,0.0
1398,0.05,0.0
1400,0.04,0.0
1402,0.06,0.0
1404,0.06,0.0
1406,0.05,0.01
1408,0.05,0.0
1410,0.06,0.0
1412,0.07,0.0
1414,0.07,0.0
1416,0.08,0.01
1418,0.05,0.0
1420,0.05,0.0
1422,0.04,0.0
1424,0.08,0.0
1426,0.1,0.0
1428,0.06,0.01
1430,0.09,0.0
1432,0.12,0.0
1434,0.05,0.0
1436,0.11,0.0
1438,0.07,0.0
1440,0.06,0.01
1442,0.06,0.0
1444,0.08,0.0
1446,0.05,0.0
1448,0.07,0.0
1449,0.06,0.0
1451,0.06,0.0
1453,0.08,0.0
1455,0.09,0.0
1457,0.08,0.0
1459,0.09,0.0
1461,0.04,0.0
1463,0.08,0.0
1465,0.13,0.0
1467,0.06,0.01
1469,0.07,0.01
1471,0.11,0.0
1473,0.06,0.0
1475,0.07,0.0
1477,0.07,0.0
1479,0.06,0.01
1481,0.06,0.0
1483,0.07,0.0
1485,0.06,0.01
1487,0.07,0.0
1489,0.04,0.0
1491,0.04,0.01
1493,0.06,0.01
1495,0.08,0.0
1497,0.06,0.01
1499,0.07,0.0
1501,0.08,0.0
1503,0.08,0.0
1505,0.13,0.0
1507,0.1,0.0
1509,0.09,0.0
1511,0.12,0.0
1513,0.06,0.0
1515,0.05,0.01
1517,0.06,0.0
1519,0.06,0.0
1521,0.06,0.0
1523,0.07,0.0
1525,0.06,0.0
1527,0.06,0.0
1529,0.09,0.0
1531,0.06,0.0
1533,0.06,0.0
1535,0.08,0.0
1536,0.09,0.0
1538,0.05,0.0
1540,0.1,0.0
1542,0.05,0.01
1544,0.03,0.0
1546,0.08,0.0
1548,0.08,0.0
1550,0.07,0.01
1552,0.08,0.0
1554,0.05,0.01
1556,0.08,0.0
1558,0.05,0.0
1560,0.03,0.01
1562,0.07,0.0
1564,0.04,0.0
1566,0.04,0.0
1568,0.05,0.0
1570,0.05,0.0
1572,0.07,0.0
1574,0.1,0.0
1576,0.07,0.01
1578,0.04,0.0
1580,0.09,0.0
1582,0.06,0.0
1584,0.05,0.01
1586,0.06,0.0
1588,0.05,0.0
1590,0.07,0.01
1592,0.08,0.0
1594,0.05,0.0
1596,0.09,0.0
1598,0.1,0.0
1600,0.08,0.01
1602,0.08,0.0
1604,0.11,0.0
1606,0.1,0.0
1608,0.07,0.0
1610,0.08,0.0
1612,0.07,0.01
1614,0.11,0.0
1616,0.12,0.0
1618,0.07,0.0
1620,0.04,0.0
1622,0.06,0.0
1624,0.06,0.01
1625,0.07,0.0
1627,0.05,0.0
1629,0.04,0.0
1631,0.05,0.0
1633,0.06,0.0
1635,0.07,0.0
1637,0.07,0.0
1639,0.06,0.0
1641,0.05,0.01
1643,0.07,0.0
1645,0.05,0.0
1647,0.05,0.0
1649,0.05,0.0
1651,0.03,0.0
1653,0.04,0.0
1655,0.05,0.0
1657,0.04,0.0
1659,0.03,0.0
1661,0.03,0.0
1663,0.03,0.0
1665,0.05,0.0
1667,0.03,0.0
1669,0.03,0.0
1671,0.03,0.0
1673,0.04,0.0
1675,0.03,0.0
1677,0.05,0.0
1679,0.05,0.0
1681,0.08,0.0
1683,0.07,0.0
1685,0.05,0.0
1687,0.03,0.0
1689,0.05,0.0
1691,0.05,0.0
1693,0.07,0.0
1695,0.07,0.0
1697,0.07,0.0
1699,0.07,0.0
1701,0.12,0.0
1703,0.06,0.0
1705,0.07,0.0
1707,0.08,0.0
1709,0.05,0.0
1711,0.08,0.0
1712,0.07,0.0
1714,0.1,0.0
1716,0.12,0.0
1718,0.11,0.0
1720,0.08,0.0
1722,0.13,0.0
1724,0.12,0.0
1726,0.07,0.0
1728,0.09,0.0
1730,0.08,0.0
1732,0.04,0.0
1734,0.09,0.0
1736,0.09,0.0
1738,0.06,0.0
1740,0.08,0.0
1742,0.07,0.0
1744,0.07,0.0
1746,0.06,0.0
1748,0.07,0.0
1750,0.07,0.0
1752,0.07,0.0
1754,0.06,0.0
1756,0.09,0.0
1758,0.1,0.0
1760,0.09,0.0
1762,0.06,0.0
1764,0.05,0.0
1766,0.09,0.0
1768,0.06,0.0
1770,0.07,0.0
1772,0.06,0.0
1774,0.11,0.0
1776,0.07,0.0
1778,0.08,0.01
1780,0.06,0.0
1782,0.07,0.0
1784,0.07,0.01
1786,0.07,0.0
1788,0.08,0.0
1790,0.05,0.0
1792,0.09,0.0
1794,0.07,0.0
1796,0.08,0.0
1798,0.06,0.0
1799,0.1,0.0
1801,0.07,0.0
1803,0.08,0.0
1805,0.07,0.0
1807,0.08,0.0
1809,0.11,0.0
1811,0.09,0.0
1813,0.1,0.0
1815,0.1,0.0
1817,0.07,0.0
1819,0.09,0.0
1821,0.09,0.0
1823,0.05,0.0
1825,0.05,0.0
1827,0.09,0.0
1829,0.1,0.0
1831,0.12,0.0
1833,0.13,0.0
1835,0.09,0.0
1837,0.09,0.0
1839,0.13,0.0
1841,0.11,0.0
1843,0.08,0.0
1845,0.11,0.0
1847,0.1,0.0
1849,0.12,0.0
1851,0.14,0.0
1853,0.12,0.0
1855,0.14,0.0
1857,0.15,0.0
1859,0.11,0.0
1861,0.09,0.0
1863,0.11,0.0
1865,0.11,0.0
1867,0.19,0.0
1869,0.15,0.0
1871,0.09,0.0
1873,0.1,0.0
1875,0.15,0.0
1877,0.14,0.0
1879,0.17,0.0
1881,0.09,0.0
1883,0.22,0.0
1885,0.15,0.0
1887,0.13,0.0
1888,0.14,0.0
1890,0.11,0.0
1892,0.09,0.0
1894,0.16,0.0
1896,0.13,0.0
1898,0.12,0.0
1900,0.12,0.0
1902,0.1,0.0
1904,0.11,0.0
1906,0.11,0.0
1908,0.11,0.0
1910,0.11,0.0
1912,0.14,0.0
1914,0.12,0.0
1916,0.1,0.0
1918,0.12,0.0
1920,0.13,0.0
1922,0.13,0.0
1924,0.13,0.0
1926,0.09,0.0
1928,0.12,0.0
1930,0.13,0.0
1932,0.1,0.0
1934,0.14,0.0
1936,0.12,0.0
1938,0.11,0.0
1940,0.16,0.0
1942,0.14,0.0
1944,0.09,0.0
1946,0.12,0.0
1948,0.09,0.0
1950,0.15,0.0
1952,0.13,0.0
1954,0.16,0.0
1956,0.11,0.0
1958,0.12,0.0
1960,0.1,0.0
1962,0.11,0.0
1964,0.12,0.0
1966,0.09,0.0
1968,0.12,0.0
1970,0.1,0.0
1972,0.1,0.0
1974,0.09,0.0
1975,0.09,0.0
1977,0.13,0.0
1979,0.15,0.0
1981,0.17,0.0
1983,0.06,0.0
1985,0.12,0.0
1987,0.1,0.0
1989,0.1,0.0
1991,0.11,0.0
1993,0.13,0.0
1995,0.09,0.0
1997,0.09,0.0
1999,0.12,0.0
2001,0.1,0.0
2003,0.17,0.0
2005,0.1,0.0
2007,0.1,0.0
2009,0.09,0.0
2011,0.08,0.0
2013,0.08,0.0
2015,0.12,0.0
2017,0.1,0.0
2019,0.09,0.0
2021,0.09,0.0
2023,0.07,0.0
2025,0.07,0.0
2027,0.07,0.0
2029,0.07,0.0
2031,0.08,0.0
2033,0.1,0.0
2035,0.1,0.0
2037,0.1,0.0
2039,0.16,0.0
2041,0.11,0.0
2043,0.13,0.0
2045,0.12,0.0
2047,0.08,0.0
2049,0.09,0.0
2051,0.12,0.0
2053,0.06,0.0
2055,0.1,0.0
2057,0.09,0.0
2059,0.05,0.0
2061,0.06,0.0
2063,0.09,0.0
2064,0.07,0.0
2066,0.07,0.0
2068,0.14,0.0
2070,0.13,0.0
2072,0.07,0.0
2074,0.1,0.0
2076,0.06,0.0
2078,0.07,0.0
2080,0.1,0.0
2082,0.06,0.0
2084,0.12,0.0
2086,0.07,0.0
2088,0.06,0.0
2090,0.07,0.0
2092,0.05,0.0
2094,0.06,0.0
2096,0.1,0.0
2098,0.06,0.0
2100,0.08,0.0
2102,0.11,0.0
2104,0.06,0.0
2106,0.09,0.0
2108,0.11,0.0
2110,0.1,0.0
2112,0.07,0.0
2114,0.12,0.0
2116,0.06,0.0
2118,0.08,0.0
2120,0.06,0.0
2122,0.06,0.0
2124,0.08,0.0
2126,0.08,0.0
2128,0.06,0.0
2130,0.08,0.0
2132,0.08,0.0
2134,0.1,0.0
2136,0.12,0.0
2138,0.09,0.0
2140,0.08,0.0
2142,0.15,0.0
2144,0.11,0.0
2146,0.09,0.0
2148,0.13,0.0
2150,0.09,0.0
2151,0.07,0.0
2153,0.18,0.0
2155,0.08,0.0
2157,0.07,0.0
2159,0.11,0.0
2161,0.03,0.0
2163,0.06,0.0
2165,0.11,0.0
2167,0.07,0.01
2169,0.1,0.0
2171,0.12,0.0
2173,0.08,0.0
2175,0.13,0.0
2177,0.06,0.0
2179,0.06,0.0
2181,0.1,0.01
2183,0.1,0.0
2185,0.11,0.01
2187,0.11,0.0
2189,0.09,0.0
2191,0.06,0.0
2193,0.07,0.0
2195,0.09,0.0
2197,0.09,0.0
2199,0.12,0.0
2201,0.07,0.0
2203,0.07,0.0
2205,0.09,0.0
2207,0.07,0.0
2209,0.07,0.0
2211,0.1,0.0
2213,0.08,0.0
2215,0.09,0.0
2217,0.09,0.0
2219,0.09,0.0
2221,0.1,0.0
2223,0.09,0.0
2225,0.12,0.0
2227,0.11,0.0
2229,0.13,0.0
2231,0.09,0.0
2233,0.08,0.0
2235,0.09,0.0
2237,0.07,0.0
2238,0.07,0.0
2240,0.09,0.0
2242,0.09,0.0
2244,0.1,0.0
2246,0.1,0.0
2248,0.11,0.0
2250,0.11,0.0
2252,0.06,0.0
2254,0.07,0.0
2256,0.08,0.0
2258,0.05,0.0
2260,0.06,0.0
2262,0.07,0.0
2264,0.06,0.0
2266,0.06,0.0
2268,0.11,0.0
2270,0.07,0.0
2272,0.12,0.0
2274,0.13,0.0
2276,0.15,0.0
2278,0.12,0.0
2280,0.13,0.0
2282,0.12,0.0
2284,0.09,0.0
2286,0.14,0.0
2288,0.07,0.0
2290,0.1,0.0
2292,0.11,0.0
2294,0.1,0.01
2296,0.07,0.0
2298,0.12,0.0
2300,0.1,0.0
2302,0.1,0.0
2304,0.12,0.0
2306,0.09,0.0
2308,0.13,0.0
2310,0.16,0.0
2312,0.1,0.0
2314,0.09,0.0
2316,0.11,0.0
2318,0.06,0.0
2320,0.09,0.0
2322,0.14,0.0
2324,0.09,0.0
2326,0.12,0.0
2327,0.1,0.01
2329,0.1,0.0
2331,0.13,0.0
2333,0.08,0.0
2335,0.1,0.0
2337,0.08,0.0
2339,0.07,0.0
2341,0.09,0.0
2343,0.14,0.0
2345,0.12,0.0
2347,0.11,0.0
2349,0.11,0.0
2351,0.11,0.0
2353,0.09,0.0
2355,0.08,0.0
2357,0.07,0.0
2359,0.09,0.0
2361,0.12,0.0
2363,0.12,0.0
2365,0.1,0.0
2367,0.08,0.0
2369,0.06,0.0
2371,0.13,0.0
2373,0.08,0.0
2375,0.09,0.0
2377,0.1,0.0
2379,0.1,0.0
2381,0.12,0.0
2383,0.13,0.0
2385,0.09,0.0
2387,0.1,0.0
2389,0.12,0.0
2391,0.07,0.01
2393,0.04,0.01
2395,0.05,0.01
2397,0.03,0.02
2399,0.04,0.01
2401,0.04,0.01
2403,0.02,0.01
2405,0.02,0.01
2407,0.02,0.02
2409,0.02,0.02
2411,0.05,0.01
2413,0.03,0.0
2414,0.03,0.01
2416,0.05,0.01
2418,0.02,0.0
2420,0.03,0.01
2422,0.04,0.01
2424,0.03,0.01
2426,0.06,0.01
2428,0.07,0.01
2430,0.04,0.0
2432,0.04,0.01
2434,0.03,0.01
2436,0.03,0.01
2438,0.04,0.01
2440,0.03,0.01
2442,0.02,0.01
2444,0.02,0.01
2446,0.02,0.01
2448,0.02,0.01
2450,0.05,0.0
2452,0.04,0.0
2454,0.03,0.01
2456,0.05,0.0
2458,0.04,0.01
2460,0.05,0.0
2462,0.04,0.0
2464,0.03,0.0
2466,0.03,0.01
2468,0.07,0.01
2470,0.05,0.0
2472,0.04,0.01
2474,0.06,0.01
2476,0.04,0.01
2478,0.03,0.01
2480,0.06,0.01
2482,0.03,0.01
2484,0.04,0.0
2486,0.04,0.0
2488,0.04,0.0
2490,0.04,0.0
2492,0.04,0.01
2494,0.05,0.01
2496,0.05,0.0
2498,0.05,0.0
2500,0.03,0.0
2501,0.05,0.0
2503,0.04,0.0
2505,0.03,0.01
2507,0.04,0.0
2509,0.03,0.0
2511,0.04,0.0
2513,0.04,0.01
2515,0.05,0.0
2517,0.05,0.01
2519,0.08,0.0
2521,0.05,0.0
2523,0.04,0.01
2525,0.06,0.0
2527,0.07,0.0
2529,0.06,0.0
2531,0.1,0.0
2533,0.09,0.01
2535,0.06,0.01
2537,0.05,0.0
2539,0.1,0.0
2541,0.1,0.01
2543,0.04,0.01
2545,0.05,0.0
2547,0.06,0.0
2549,0.06,0.01
2551,0.05,0.01
2553,0.07,0.0
2555,0.08,0.0
2557,0.02,0.01
2559,0.06,0.01
2561,0.06,0.01
2563,0.05,0.01
2565,0.07,0.0
2567,0.08,0.01
2569,0.08,0.0
2571,0.07,0.0
2573,0.06,0.0
2575,0.04,0.01
2577,0.07,0.0
2579,0.05,0.01
2581,0.03,0.01
2583,0.06,0.0
2585,0.03,0.01
2587,0.08,0.01
2589,0.06,0.01
2590,0.05,0.01
2592,0.06,0.01
2594,0.05,0.0
2596,0.05,0.01
2598,0.04,0.0
2600,0.04,0.01
